"Id","ObjectId","Territory2Id","AssociationCause","KeyPrefix","IsDeleted","LastModifiedDate","LastModifiedById","SystemModstamp"
"0JB8a00000FGNh4GAH","0018a000024zxXRAAY","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNh5GAH","0018a000024zxXSAAY","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNh6GAH","0018a000024zxXTAAY","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNh7GAH","0018a000024zxXUAAY","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNh9GAH","0018a000024zxXWAAY","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhBGAX","0018a000024zxXYAAY","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhCGAX","0018a000024zxXZAAY","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhDGAX","0018a000024zxXaAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhEGAX","0018a000024zxXbAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhFGAX","0018a000024zxXcAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhGGAX","0018a000024zxXdAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhHGAX","0018a000024zxXeAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhIGAX","0018a000024zxXfAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhJGAX","0018a000024zxXgAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhKGAX","0018a000024zxXhAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
"0JB8a00000FGNhLGAX","0018a000024zxXiAAI","0MI8a0000004gDZGAY","Territory2AssignmentRule","001","0","2023-01-10 20:34:21","0058a00000LLRscAAH","2023-01-10 20:34:21"
