"Id","RelationId","EventId","ChildEventId","IsWhat","IsParent","IsInvitee","AccountId","Status","RespondedDate","Response","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","IsDeleted"
"0RT8a00003g9cxeGAA","0058a00000MNWtKAAX","00T8a00008FaiKjEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxfGAA","0058a00000MNWtKAAX","00T8a00008FaiKkEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxgGAA","0058a00000MNWtKAAX","00T8a00008FaiKlEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxhGAA","0058a00000MNWtKAAX","00T8a00008FaiKmEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxiGAA","0058a00000MNWtKAAX","00T8a00008FaiKnEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxjGAA","0058a00000MNWtKAAX","00T8a00008FaiKoEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxkGAA","0058a00000MNWtKAAX","00T8a00008FaiKpEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxlGAA","0058a00000MNWtKAAX","00T8a00008FaiKqEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxmGAA","0058a00000MNWtKAAX","00T8a00008FaiKrEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
"0RT8a00003g9cxnGAA","0058a00000MNWtKAAX","00T8a00008FaiKsEAJ","","0","0","0","","","","","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0058a00000MNWtKAAX","2023-05-29 20:41:35","0"
